Customer ID,Time with Company (in Months),Contract Type,Internet Service Provider,Total Charges,Predicted Churn,Risk Level,Predicted Probability
6384-VMJHP,72,Two year,DSL,5265.2,No,1_Low,0.007347528755416653
1766-GKNMI,29,Month-to-month,Fiber optic,2516.2,Yes,3_High,0.824660073693296
2371-JUNGC,11,Month-to-month,No,208.0,No,1_Low,0.2592490186606519
2959-MJHIC,4,Month-to-month,Fiber optic,307.4,Yes,3_High,0.8837425812623823
0961-ZWLVI,49,One year,Fiber optic,5290.45,Yes,2_Medium,0.4813645204720602
5837-LXSDN,21,One year,DSL,1215.45,No,1_Low,0.318278829126885
4193-IBKSW,72,Two year,No,1769.6,No,1_Low,0.001424327552751566
8819-WFGGJ,68,Two year,DSL,3794.5,No,1_Low,0.019984278196963714
5977-CKHON,43,Month-to-month,Fiber optic,4039.0,Yes,2_Medium,0.6800364062030387
6469-QJKZW,4,Month-to-month,No,91.4,Yes,2_Medium,0.43500699279404514
3313-QKNKB,59,One year,Fiber optic,5084.65,Yes,2_Medium,0.4409057901205005
2272-UOINI,7,Month-to-month,DSL,571.05,Yes,2_Medium,0.47737844587388845
9499-XPZXM,72,Two year,DSL,4804.75,No,1_Low,0.004991689229805313
0394-YONDK,70,Two year,No,1790.15,No,1_Low,0.0018520327771594696
9451-LPGOO,7,Month-to-month,Fiber optic,620.35,Yes,3_High,0.899217056674974
9708-KFDBY,1,Month-to-month,No,20.55,Yes,2_Medium,0.41742302753994176
2796-UUZZO,63,Month-to-month,Fiber optic,4896.35,No,1_Low,0.2683940465041151
4847-TAJYI,6,Month-to-month,Fiber optic,567.8,Yes,3_High,0.9149950158114116
2067-QYTCF,64,Month-to-month,Fiber optic,6953.4,Yes,2_Medium,0.6161827312994383
0689-NKYLF,13,Month-to-month,Fiber optic,1060.6,Yes,3_High,0.8365783931978997
2812-ENYMO,26,One year,DSL,1362.85,No,1_Low,0.18763657980575027
8740-XLHDR,5,Month-to-month,DSL,219.0,No,1_Low,0.3750099089799533
8612-GXIDD,12,Two year,No,313.0,No,1_Low,0.09795614325276453
7956-XQWGU,27,Month-to-month,No,460.25,No,1_Low,0.12201313719538882
7926-IJOOU,1,Month-to-month,No,19.3,Yes,2_Medium,0.41303641765167765
6723-CEGQI,65,Two year,DSL,2933.95,No,1_Low,0.010620356525869424
4646-QZXTF,7,Month-to-month,DSL,580.1,No,1_Low,0.3367174863207753
0220-EBGCE,2,Month-to-month,Fiber optic,167.3,Yes,3_High,0.8680686785415247
1450-GALXR,10,Month-to-month,Fiber optic,1058.25,Yes,3_High,0.8566006735184617
5624-BQSSA,1,Month-to-month,No,20.95,Yes,2_Medium,0.41406087114531753
5834-ASPWA,1,Month-to-month,Fiber optic,75.45,Yes,3_High,0.9011374848320258
2275-RBYQS,1,Month-to-month,DSL,45.4,Yes,3_High,0.7059856593482227
7278-CKDNC,24,Month-to-month,Fiber optic,2088.45,Yes,3_High,0.8029405745686142
0581-MDMPW,24,Month-to-month,Fiber optic,2072.75,Yes,3_High,0.7682975578380586
6654-QGBZZ,1,Month-to-month,No,19.9,Yes,2_Medium,0.4103839854010506
1475-VWVDO,7,Month-to-month,Fiber optic,490.55,Yes,3_High,0.8252795235234083
5035-BVCXS,11,Month-to-month,Fiber optic,866.4,Yes,3_High,0.7119399711478629
8792-AOROI,8,Two year,DSL,564.35,No,1_Low,0.0869006335099482
2958-NHPPS,23,Month-to-month,No,473.9,No,1_Low,0.18505963770835507
3164-YAXFY,57,Month-to-month,DSL,3196.0,No,1_Low,0.22885882137291852
8387-UGUSU,15,Month-to-month,No,284.3,No,1_Low,0.2095838562191845
9150-KPBJQ,6,Two year,No,116.85,No,1_Low,0.08959990743576962
5795-KTGUD,68,Two year,Fiber optic,7553.6,No,1_Low,0.18559312544104292
4328-VUFWD,39,One year,DSL,2209.15,No,1_Low,0.1322763864478516
4644-PIZRT,17,One year,DSL,1201.65,No,1_Low,0.3537010568291702
8149-RSOUN,1,Month-to-month,Fiber optic,93.85,Yes,3_High,0.92597279657284
7225-CBZPL,17,Month-to-month,Fiber optic,1563.9,Yes,3_High,0.9063367002719407
8267-KFGYD,1,Month-to-month,No,21.05,Yes,2_Medium,0.5126290262398454
6726-NNFWD,71,Two year,Fiber optic,6435.25,No,1_Low,0.08383882133916223
6797-UCJHZ,66,One year,Fiber optic,6819.45,Yes,2_Medium,0.4353067909012024
8439-LTUGF,10,Month-to-month,No,198.6,No,1_Low,0.3281244391148106
7851-FLGGQ,1,Month-to-month,DSL,44.65,Yes,2_Medium,0.6379763380949346
3640-PHQXK,31,Month-to-month,Fiber optic,2806.9,Yes,3_High,0.7960249856370045
8414-OOEEL,66,Two year,DSL,5196.1,No,1_Low,0.028875415050525207
7049-GKVZY,17,One year,DSL,1387.35,No,1_Low,0.16399528790361187
4307-KTUMW,53,Month-to-month,Fiber optic,5029.2,Yes,2_Medium,0.5191944273538266
7268-WNTCP,62,Two year,No,1297.35,No,1_Low,0.0019397774536915502
2519-TWKFS,25,One year,DSL,1466.1,No,1_Low,0.24243745052047627
8945-MUQUF,51,One year,Fiber optic,4837.6,Yes,2_Medium,0.4564562281392035
2144-BFDSO,50,Month-to-month,Fiber optic,5431.9,Yes,2_Medium,0.5376570488461204
7493-GVFIO,57,Two year,No,1252.85,No,1_Low,0.0030010383737697236
6563-VNPMN,45,Month-to-month,Fiber optic,3778.1,No,1_Low,0.24654035224449955
9334-GWGOW,7,Month-to-month,Fiber optic,485.25,Yes,3_High,0.8872690577637041
6574-MCOEH,33,One year,DSL,2531.4,No,1_Low,0.353016319574226
6402-EJMWF,4,Month-to-month,DSL,238.5,Yes,3_High,0.7064949290893402
8622-ZLFKO,6,Month-to-month,Fiber optic,512.25,Yes,3_High,0.8471676898510277
2386-OWURY,58,Month-to-month,Fiber optic,5817.7,Yes,2_Medium,0.6554829315722055
9846-GKXAS,9,Month-to-month,Fiber optic,809.75,Yes,3_High,0.8390037943773172
6861-XWTWQ,7,Month-to-month,Fiber optic,665.45,Yes,3_High,0.9113978791555163
8184-WMOFI,62,One year,DSL,4487.3,No,1_Low,0.03325390122122819
9481-SFCQY,14,Month-to-month,DSL,824.85,Yes,2_Medium,0.6111004036060457
4163-NCJAK,46,One year,No,1066.15,No,1_Low,0.023636484894664824
7005-CCBKV,6,Month-to-month,Fiber optic,556.35,Yes,3_High,0.8319030959620213
8718-PTMEZ,13,Month-to-month,DSL,347.25,Yes,2_Medium,0.6555479163710802
6096-EGVTU,64,One year,No,1595.5,No,1_Low,0.007104134690264036
6979-ZNSFF,8,Month-to-month,Fiber optic,762.1,Yes,3_High,0.9094960645489107
5562-BETPV,1,One year,No,19.65,No,1_Low,0.28572538302549716
8207-VVMYB,70,Two year,No,2006.95,No,1_Low,0.0022544013130891896
8659-IOOPU,71,Two year,Fiber optic,7159.7,No,1_Low,0.10548964878550533
6595-COKXZ,1,Month-to-month,DSL,44.45,Yes,3_High,0.7031276762911642
1064-FBXNK,1,One year,No,19.85,No,1_Low,0.2862157643918414
7969-FFOWG,65,Two year,No,1292.6,No,1_Low,0.0016165393756498298
6435-VWCCY,65,Two year,Fiber optic,5968.4,No,1_Low,0.126562058181047
5278-PNYOX,49,Two year,Fiber optic,4917.75,No,1_Low,0.16604046902356578
6397-JNZZG,43,Month-to-month,DSL,2342.2,No,1_Low,0.27467847416771785
1469-LBJQJ,66,Month-to-month,Fiber optic,6936.85,Yes,3_High,0.7083561723050388
6447-EGDIV,31,One year,No,683.25,No,1_Low,0.04646584628424071
8182-BJDSI,28,Month-to-month,Fiber optic,2625.55,Yes,3_High,0.7881874607473941
6743-HHQPF,42,Month-to-month,DSL,1097.15,No,1_Low,0.19923699400006942
7924-GJZFI,25,Month-to-month,Fiber optic,1813.1,Yes,3_High,0.7612302643954973
4450-DLLMH,2,Month-to-month,Fiber optic,157.75,Yes,3_High,0.8281526334626826
7394-LWLYN,2,Month-to-month,Fiber optic,123.8,Yes,3_High,0.870285734620083
0248-IPDFW,1,Month-to-month,DSL,50.1,Yes,3_High,0.8165322917746918
9026-RNUJS,5,Month-to-month,DSL,237.25,Yes,2_Medium,0.692472543356475
8445-DNBAE,1,Month-to-month,DSL,50.05,Yes,3_High,0.8359983591667456
2040-XBAVJ,72,Two year,Fiber optic,8100.55,No,1_Low,0.0991251406297309
6729-FZWSY,67,One year,No,1195.95,No,1_Low,0.004351818518345964
3834-XUIFC,7,Month-to-month,Fiber optic,602.55,Yes,3_High,0.8540557969144887
4011-ARPHK,27,Month-to-month,DSL,1411.35,No,1_Low,0.2326835170556142
4393-OBCRR,3,One year,No,71.2,No,1_Low,0.2513925302772434
9430-NKQLY,72,Two year,No,1790.8,No,1_Low,0.002031924794649225
7147-AYBAA,37,Month-to-month,Fiber optic,2552.9,Yes,2_Medium,0.5457693423054065
6870-ECSHE,2,One year,No,34.8,No,1_Low,0.2633735284922447
6005-OBZPH,26,Month-to-month,Fiber optic,2277.65,Yes,3_High,0.8261158066035945
9451-WLYRI,53,One year,No,990.45,No,1_Low,0.008401861847700825
7142-HVGBG,43,Month-to-month,Fiber optic,4414.3,Yes,3_High,0.7951302444041921
8404-VLQFB,15,Month-to-month,No,394.85,Yes,2_Medium,0.4072022786400399
3963-RYFNS,72,Two year,Fiber optic,8013.55,No,1_Low,0.11658163236838669
6653-CBBOM,1,Month-to-month,Fiber optic,70.3,Yes,3_High,0.8759353167337238
9651-GTSAQ,53,One year,Fiber optic,5769.75,No,1_Low,0.3534054724441585
5458-CQJTA,65,Two year,DSL,4820.15,No,1_Low,0.021471850874306853
1140-UKVZG,17,Month-to-month,No,475.25,No,1_Low,0.23605797144751273
9297-FVVDH,57,Two year,DSL,4845.4,No,1_Low,0.06591997489975289
7567-ECMCM,24,Month-to-month,Fiber optic,2001.0,Yes,3_High,0.7338422832450346
0599-XNYDO,20,Month-to-month,Fiber optic,1540.35,Yes,2_Medium,0.680618601133543
8042-JVNFH,1,Month-to-month,Fiber optic,71.35,Yes,3_High,0.832233217192809
4097-YODCF,34,One year,Fiber optic,3470.8,Yes,2_Medium,0.6399419355091377
8784-CGILN,18,Month-to-month,Fiber optic,1776.95,Yes,3_High,0.7568007341784685
9298-WGMRW,72,Two year,Fiber optic,8312.75,No,1_Low,0.12646379400986246
2077-DDHJK,68,Two year,DSL,4911.35,No,1_Low,0.006784063744848423
5385-SUIRI,52,Month-to-month,Fiber optic,5568.35,Yes,3_High,0.7672671066227549
3161-GETRM,34,Month-to-month,Fiber optic,3097.0,Yes,3_High,0.723376130437278
1820-DJFPH,72,Two year,No,1709.15,No,1_Low,0.0017238789917361865
5119-KEPFY,36,Month-to-month,Fiber optic,3440.25,Yes,3_High,0.7764126734912226
4077-HWUYD,72,Two year,DSL,6463.15,No,1_Low,0.024073607413817553
6461-PPAXN,35,One year,DSL,1916.0,No,1_Low,0.07215346496323745
5716-LIBJC,13,One year,Fiber optic,1299.1,Yes,3_High,0.7064208666488825
1472-TNCWL,36,Month-to-month,Fiber optic,3512.5,Yes,3_High,0.795461799706517
1866-NXPSP,36,One year,DSL,2680.15,No,1_Low,0.07345004336628119
0422-OHQHQ,15,One year,No,295.95,No,1_Low,0.1286439125127194
8189-DUKMV,4,One year,No,79.05,No,1_Low,0.2090208554664443
6035-BXTTY,32,Month-to-month,DSL,1830.1,No,1_Low,0.15495783547529066
8388-DMKAE,8,Two year,No,174.65,No,1_Low,0.08022726893439028
5522-JBWMO,1,Month-to-month,DSL,44.0,Yes,3_High,0.7540956641205109
1794-HBQTJ,1,Month-to-month,DSL,48.6,Yes,2_Medium,0.5774246089851461
2773-MADBQ,36,Two year,DSL,1901.25,No,1_Low,0.02866939117320996
3714-XPXBW,37,Month-to-month,DSL,2976.95,No,1_Low,0.18348785274162005
6878-GGDWG,32,Month-to-month,No,641.15,No,1_Low,0.061912707054325104
5446-DKWYW,61,One year,DSL,3965.05,No,1_Low,0.21030067332530164
1207-BLKSA,52,Two year,No,1255.1,No,1_Low,0.005584159803217625
5895-QSXOD,9,Month-to-month,Fiber optic,657.5,Yes,3_High,0.7376969430129078
5627-TVBPP,35,One year,No,644.5,No,1_Low,0.04671663973506068
5982-XMDEX,65,Two year,No,1698.55,No,1_Low,0.0023747603680646587
4086-YQSNZ,3,Month-to-month,Fiber optic,224.05,Yes,3_High,0.9023273692772646
7136-IHZJA,40,Month-to-month,DSL,2847.2,No,1_Low,0.12637918948784369
7319-ZNRTR,25,One year,No,411.15,No,1_Low,0.09303688363141074
6892-BOGQE,71,Two year,No,1493.2,No,1_Low,0.001183913262578395
6240-EURKS,18,Month-to-month,DSL,553.0,Yes,3_High,0.7188964906758348
9845-PEEKO,59,Two year,Fiber optic,4590.35,No,1_Low,0.1270193164237456
0265-PSUAE,16,Month-to-month,Fiber optic,1522.7,Yes,2_Medium,0.6381039227935235
7161-DFHUF,71,Two year,No,1672.1,No,1_Low,0.0013547210304154674
2862-PFNIK,1,Month-to-month,DSL,24.7,Yes,3_High,0.8724097815050305
4397-FRLTA,4,Month-to-month,No,84.5,No,1_Low,0.36183621628978646
4994-OBRSZ,14,Two year,DSL,1054.8,No,1_Low,0.05028028610265094
5203-XEHAX,34,One year,DSL,2053.05,No,1_Low,0.13372322457614202
6625-UTXEW,12,Month-to-month,DSL,612.1,Yes,2_Medium,0.5667226119909328
3970-XGJDU,62,Two year,No,1123.65,No,1_Low,0.002272655894276595
3199-NPKCN,67,One year,Fiber optic,7511.65,Yes,2_Medium,0.4531014146673086
9625-QSTYE,13,Month-to-month,Fiber optic,952.3,Yes,3_High,0.7267446166116709
2012-NWRPA,11,Month-to-month,Fiber optic,1131.2,Yes,3_High,0.9072970315301798
9730-DRTMJ,32,One year,DSL,2333.05,No,1_Low,0.1754034565812213
9769-TSBZE,70,Two year,DSL,4891.5,No,1_Low,0.01229904373932003
5702-KVQRD,71,Two year,DSL,5832.65,No,1_Low,0.030267740571758732
4656-CAURT,69,Two year,No,1713.1,No,1_Low,0.0016929326505704964
6900-PXRMS,26,Month-to-month,Fiber optic,2710.25,Yes,3_High,0.827973050511217
0870-VEMYL,5,Month-to-month,DSL,259.8,No,1_Low,0.32165256955505594
3301-LSLWQ,29,Month-to-month,DSL,1912.15,Yes,2_Medium,0.48501396968423194
4750-UKWJK,37,One year,No,727.8,No,1_Low,0.0318749320819531
8970-ANWXO,23,One year,DSL,1756.6,No,1_Low,0.37582166016634977
9617-INGJY,1,Month-to-month,Fiber optic,70.6,Yes,3_High,0.8307143376714673
9689-PTNPG,2,Month-to-month,Fiber optic,144.55,Yes,3_High,0.8980403890072237
4745-LSPLO,1,Month-to-month,No,20.5,Yes,2_Medium,0.4173662033333569
7909-FIOIY,19,Month-to-month,DSL,434.8,Yes,2_Medium,0.5481107911664806
9172-JITSM,26,Month-to-month,Fiber optic,2361.8,Yes,3_High,0.8491887880972516
4121-AGSIN,58,One year,No,1497.9,No,1_Low,0.014079707927557061
6064-PUPMC,23,One year,DSL,1423.35,No,1_Low,0.11900214495269708
9081-WWXKP,47,Two year,No,873.4,No,1_Low,0.0054261795756623075
9110-HSGTV,69,Two year,DSL,5555.3,No,1_Low,0.021835339154258265
6504-VBLFL,55,Two year,DSL,3068.6,No,1_Low,0.01291187392517502
7854-EKTJL,2,Month-to-month,No,35.85,Yes,2_Medium,0.5804950967191078
8901-HJXTF,12,Month-to-month,DSL,309.1,Yes,2_Medium,0.5145717887107529
2369-FEVNO,1,Month-to-month,No,19.9,Yes,2_Medium,0.4794049068030457
6900-RBKER,52,Two year,Fiber optic,4577.75,No,1_Low,0.2275521015285817
3969-JQABI,58,Month-to-month,DSL,3791.6,No,1_Low,0.09745510176861882
6599-RCLCJ,47,Month-to-month,Fiber optic,5124.55,Yes,2_Medium,0.6708088214416654
5835-BEQEU,3,Month-to-month,Fiber optic,228.4,Yes,3_High,0.8968161211231179
7576-OYWBN,3,Month-to-month,Fiber optic,231.8,Yes,3_High,0.9118781254998652
1833-VGRUM,1,Month-to-month,Fiber optic,74.2,Yes,3_High,0.9134446636514119
7876-BEUTG,15,Month-to-month,DSL,720.1,Yes,2_Medium,0.5868595003509908
2252-ISRNH,9,One year,Fiber optic,767.9,Yes,3_High,0.8126559447667941
2501-XWWTZ,11,Month-to-month,Fiber optic,760.05,Yes,3_High,0.7897832585769464
7785-RDVIG,3,Month-to-month,No,54.7,No,1_Low,0.380987778440551
9912-OMZDS,59,One year,Fiber optic,6256.2,Yes,2_Medium,0.637027231315852
6974-DAFLI,55,One year,No,1140.05,No,1_Low,0.011616783499830438
0277-BKSQP,8,Month-to-month,DSL,475.1,Yes,3_High,0.7738923552716189
3627-FCRDW,9,Month-to-month,Fiber optic,672.55,Yes,3_High,0.8061146362154209
8751-EDEKA,28,Month-to-month,Fiber optic,2433.5,Yes,2_Medium,0.5094421419942714
9552-TGUZV,8,Month-to-month,Fiber optic,658.1,Yes,2_Medium,0.6791171516902107
9330-DHBFL,23,One year,DSL,1533.8,No,1_Low,0.09457222619133958
4588-YBNIB,1,Month-to-month,No,19.6,Yes,2_Medium,0.4733067518132356
5387-ASZNZ,66,One year,DSL,4174.35,No,1_Low,0.026439086276385693
5797-APWZC,1,Month-to-month,Fiber optic,90.6,Yes,3_High,0.8868243768552838
7493-TPUWZ,1,Month-to-month,Fiber optic,79.15,Yes,3_High,0.8612707196278893
3096-IZETN,12,Month-to-month,Fiber optic,947.3,Yes,3_High,0.7220886229209494
4237-CLSMM,2,Month-to-month,No,38.0,No,1_Low,0.3777025699970717
5380-AFSSK,5,Month-to-month,Fiber optic,486.85,Yes,3_High,0.8867819181277443
3318-NMQXL,3,Month-to-month,Fiber optic,266.8,Yes,3_High,0.9092607828962574
1784-EZDKJ,51,One year,Fiber optic,5498.8,Yes,2_Medium,0.5469829305771874
5364-XYIRR,51,Month-to-month,Fiber optic,4812.75,Yes,3_High,0.7923339974339537
6176-YJWAS,72,Two year,Fiber optic,7114.25,No,1_Low,0.10469696487011927
2968-SSGAA,10,Month-to-month,Fiber optic,1060.2,Yes,3_High,0.9033731231719325
7994-XIRTR,54,One year,DSL,3529.95,No,1_Low,0.061993024498017246
3737-GCSPV,11,Month-to-month,Fiber optic,1222.05,Yes,2_Medium,0.6728662276821121
4724-WXVWF,48,Month-to-month,Fiber optic,4445.3,Yes,2_Medium,0.5168780840721113
2005-DWQZJ,8,Two year,No,201.7,No,1_Low,0.08250212125096765
7401-RUBNK,18,Month-to-month,Fiber optic,1438.05,Yes,2_Medium,0.6279662641041337
4660-IRIBM,18,Month-to-month,Fiber optic,1500.5,Yes,2_Medium,0.6447380431740583
6631-HMANX,72,Two year,DSL,6227.5,No,1_Low,0.035158933479677364
1051-EQPZR,44,Month-to-month,No,780.25,No,1_Low,0.0313223894054386
7377-DMMRI,2,Month-to-month,DSL,92.45,Yes,2_Medium,0.6581057364624446
9189-JWSHV,24,Month-to-month,Fiber optic,2264.05,Yes,3_High,0.8908341609700372
0303-WMMRN,5,Month-to-month,No,86.05,Yes,2_Medium,0.40558985476796444
4430-UZIPO,3,Month-to-month,DSL,108.7,Yes,2_Medium,0.5895099104797383
9522-BNTHX,34,Month-to-month,DSL,1765.95,Yes,2_Medium,0.5382674076137863
5138-WVKYJ,10,Month-to-month,Fiber optic,1008.55,Yes,3_High,0.8292543857118713
4080-IIARD,13,Month-to-month,DSL,981.45,Yes,2_Medium,0.43642952302508775
2219-MVUSO,8,Month-to-month,DSL,438.4,Yes,2_Medium,0.6369184146943262
3926-CUQZX,1,Month-to-month,DSL,45.1,Yes,2_Medium,0.692891106248896
3778-FOAQW,24,One year,No,456.85,No,1_Low,0.06407659859403253
1116-FRYVH,48,Two year,DSL,1978.65,No,1_Low,0.009871391592729331
1724-BQUHA,5,Month-to-month,Fiber optic,477.7,Yes,3_High,0.9186227366663293
0866-QLSIR,34,One year,DSL,2088.75,No,1_Low,0.07890867620137522
4883-KCPZJ,22,Two year,No,555.4,No,1_Low,0.04302082304987136
2632-TACXW,62,Two year,No,1416.75,No,1_Low,0.0022427728690050126
8868-GAGIO,45,Month-to-month,Fiber optic,3713.95,Yes,2_Medium,0.4178939940940323
3055-OYMSE,53,Month-to-month,Fiber optic,4003.85,No,1_Low,0.39117288389783683
6647-ZEDXT,30,One year,Fiber optic,3327.05,Yes,2_Medium,0.4509017845922083
2371-JQHZZ,24,Month-to-month,Fiber optic,2248.05,Yes,3_High,0.8717840779133571
7622-FWGEW,56,Two year,DSL,4824.45,No,1_Low,0.02815069918262151
0674-DGMAQ,32,Month-to-month,Fiber optic,2970.8,Yes,3_High,0.7528718936853512
9432-VOFYX,17,Month-to-month,Fiber optic,1207.0,Yes,3_High,0.7988591268571799
5056-FIMPT,43,One year,Fiber optic,4532.3,No,1_Low,0.3306889776702224
3692-JHONH,52,One year,Fiber optic,5621.85,Yes,2_Medium,0.6923309392505814
8495-LJDFO,64,Month-to-month,Fiber optic,7111.3,Yes,2_Medium,0.5443008085223449
3541-ZNUHK,55,Month-to-month,Fiber optic,4600.95,Yes,2_Medium,0.42949294073826877
2692-AQCPF,65,One year,Fiber optic,7118.9,No,1_Low,0.3693485926509117
9847-HNVGP,17,One year,No,310.6,No,1_Low,0.11026386945360582
8809-XKHMD,72,Two year,Fiber optic,7325.1,No,1_Low,0.06929335003853952
7055-HNEOJ,3,Month-to-month,DSL,154.55,Yes,2_Medium,0.4817852432316158
2673-CXQEU,56,One year,Fiber optic,6139.5,Yes,2_Medium,0.5207992722753112
5879-SESNB,11,Month-to-month,Fiber optic,888.65,Yes,3_High,0.8343618192955998
0484-FFVBJ,32,One year,DSL,2010.95,No,1_Low,0.3182058289623474
5269-NRGDP,42,One year,DSL,3088.25,No,1_Low,0.18524765214385466
0993-OSGPT,68,One year,DSL,3975.9,No,1_Low,0.01952805304133515
7706-DZNKK,11,Month-to-month,No,237.3,No,1_Low,0.3167136076680286
1415-YFWLT,1,Month-to-month,Fiber optic,89.3,Yes,3_High,0.9230442026790048
9505-SQFSW,3,Month-to-month,DSL,92.5,Yes,2_Medium,0.6886478564027249
0567-XRHCU,69,Two year,DSL,2960.1,No,1_Low,0.010168266001461434
6990-YNRIO,65,Two year,Fiber optic,6937.95,No,1_Low,0.11774235570301862
4912-PIGUY,1,Month-to-month,Fiber optic,84.6,Yes,3_High,0.9184352572763637
9896-UYMIE,66,One year,Fiber optic,7383.7,No,1_Low,0.28050066565340137
4128-ETESU,47,Month-to-month,Fiber optic,4747.2,Yes,3_High,0.7939476814722601
1215-EXRMO,50,Two year,No,1067.65,No,1_Low,0.00437375460399401
5760-FXFVO,6,Month-to-month,Fiber optic,494.95,Yes,3_High,0.7116584525492019
7537-CBQUZ,63,Month-to-month,Fiber optic,7031.45,Yes,2_Medium,0.6158555079096603
8782-LKFPK,44,Month-to-month,Fiber optic,4063.0,Yes,2_Medium,0.6736890972957512
7799-LGRDP,43,Two year,No,1188.2,No,1_Low,0.014646123121134263
0623-GDISB,1,Month-to-month,DSL,48.45,Yes,2_Medium,0.5578545023471576
0709-TVGUR,9,Month-to-month,Fiber optic,622.9,Yes,3_High,0.8856916465070948
2242-MFOTG,33,One year,Fiber optic,2603.3,No,1_Low,0.33126475734912614
7037-MTYVW,38,Two year,DSL,3297.0,No,1_Low,0.07604380732235032
7921-BEPCI,72,Two year,DSL,4265.0,No,1_Low,0.007026940501925337
